date,y,year,month,quarter,day_of_week,week_of_year,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_8,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,diff_1,diff_12,pct_change_1,pct_change_12,month_sin,month_cos,quarter_sin,quarter_cos
2010-01-01,4738.440594059406,2010,1,1,4,53,0,,,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2010-02-01,4296.186138613862,2010,2,1,0,5,0,4738.440594059406,,,,,,,,,,,,-442.2544554455444,,-0.09333333333333327,,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2010-03-01,4927.978217821782,2010,3,1,0,9,0,4296.186138613862,4738.440594059406,,,,,4654.201650165017,324.2105143094505,,,,,631.7920792079203,,0.1470588235294117,,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2010-04-01,4548.902970297029,2010,4,2,3,13,0,4927.978217821782,4296.186138613862,4738.440594059406,,,,4591.022442244224,317.99503970235077,,,,,-379.07524752475274,,-0.07692307692307698,,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0
2010-05-01,4738.440594059406,2010,5,2,5,17,1,4548.902970297029,4927.978217821782,4296.186138613862,4738.440594059406,,,4738.440594059406,189.5376237623773,,,,,189.53762376237682,,0.04166666666666674,,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
2010-06-01,5054.336633663366,2010,6,2,1,22,0,4738.440594059406,4548.902970297029,4927.978217821782,4296.186138613862,,,4780.5600660066,255.33572890179738,4717.3808580858085,270.0249092088403,,,315.89603960396016,,0.06666666666666665,,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2010-07-01,5180.6950495049505,2010,7,3,3,26,0,5054.336633663366,4738.440594059406,4548.902970297029,4927.978217821782,,,4991.157425742575,227.7958737016179,4791.089933993399,330.5103986958361,,,126.35841584158425,,0.02499999999999991,,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16
2010-08-01,5370.232673267327,2010,8,3,6,30,1,5180.6950495049505,5054.336633663366,4738.440594059406,4548.902970297029,,,5201.754785478548,158.99751985117874,4970.097689768977,298.12732321482673,,,189.53762376237682,,0.03658536585365857,,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16
2010-09-01,5243.874257425743,2010,9,3,2,35,0,5370.232673267327,5180.6950495049505,5054.336633663366,4738.440594059406,4738.440594059406,,5264.933993399341,96.50783421479944,5022.74702970297,316.52720115152425,,,-126.35841584158425,,-0.02352941176470591,,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16
2010-10-01,5559.770297029702,2010,10,4,4,39,0,5243.874257425743,5370.232673267327,5180.6950495049505,5054.336633663366,4296.186138613862,,5391.292409240924,158.99751985117732,5191.22491749175,280.8929868535191,,,315.89603960395925,,0.06024096385542155,,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0
2010-11-01,6633.816831683168,2010,11,4,0,44,0,5559.770297029702,5243.874257425743,5370.232673267327,5180.6950495049505,4927.978217821782,,5812.487128712871,728.6181700282551,5507.12095709571,578.2422140655304,,,1074.0465346534656,,0.19318181818181834,,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0
2010-12-01,7518.325742574257,2010,12,4,2,48,0,6633.816831683168,5559.770297029702,5243.874257425743,5370.232673267327,4548.902970297029,,6570.637623762376,980.8050609337105,5917.7858085808575,948.6703974248218,5317.583333333333,913.900780781138,884.5089108910888,,0.1333333333333333,,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
2011-01-01,5194.009900990099,2011,1,1,5,52,1,7518.325742574257,6633.816831683168,5559.770297029702,5243.874257425743,4738.440594059406,4738.440594059406,6448.717491749175,1173.1612664475274,5920.004950495048,946.6146887197098,5355.547442244224,896.9610210532975,-2324.315841584158,455.5693069306926,-0.3091533835016196,0.09614329817743017,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2011-02-01,4709.235643564357,2011,2,1,1,5,0,5194.009900990099,7518.325742574257,6633.816831683168,5559.770297029702,5054.336633663366,4296.186138613862,5807.190429042904,1501.5790242528694,5809.838778877888,1055.5842069758478,5389.968234323432,859.7666112769831,-484.7742574257418,413.04950495049525,-0.09333333333333316,0.09614329817743017,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2011-03-01,5401.770297029703,2011,3,1,1,9,0,4709.235643564357,5194.009900990099,7518.325742574257,6633.816831683168,5180.6950495049505,4927.978217821782,5101.67194719472,355.381182458963,5836.154785478549,1040.5132332843286,5429.450907590759,847.4122545089142,692.5346534653463,473.79207920792123,0.1470588235294117,0.09614329817743039,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2011-04-01,4986.249504950495,2011,4,2,4,13,0,5401.770297029703,4709.235643564357,5194.009900990099,7518.325742574257,5370.232673267327,4548.902970297029,5032.4184818481845,348.56813162339927,5740.56798679868,1095.852957939356,5465.896452145214,814.879037360554,-415.52079207920815,437.3465346534658,-0.07692307692307698,0.09614329817743039,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0
2011-05-01,5194.009900990099,2011,5,2,6,17,1,4986.249504950495,5401.770297029703,4709.235643564357,5194.009900990099,5243.874257425743,4738.440594059406,5194.009900990099,207.76039603960518,5500.600165016502,1015.8536741531375,5503.860561056105,788.0782892164264,207.76039603960362,455.5693069306926,0.04166666666666652,0.09614329817743017,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
2011-06-01,5540.277227722772,2011,6,2,2,22,0,5194.009900990099,4986.249504950495,5401.770297029703,4709.235643564357,5559.770297029702,5054.336633663366,5240.178877887789,279.88454802095384,5170.925412541254,295.98599457023784,5544.355610561056,775.2605141720134,346.2673267326736,485.94059405940607,0.06666666666666665,0.09614329817743017,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2011-07-01,5678.784158415841,2011,7,3,4,26,0,5540.277227722772,5194.009900990099,4986.249504950495,5401.770297029703,6633.816831683168,5180.6950495049505,5471.023762376238,249.6969203104981,5251.721122112212,362.28675850839005,5585.863036303631,767.3132077868855,138.50693069306908,498.0891089108909,0.02499999999999991,0.09614329817743017,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16
