date,value,period,year,category_code,seasonally_adj,data_type,series_id,series_name,category,unit,frequency,data_source,pct_change,rolling_mean_3m,rolling_mean_6m,rolling_mean_12m,pct_change_yoy,rolling_std_3m,rolling_std_12m,month,quarter,day_of_year,month_sin,month_cos,quarter_sin,quarter_cos,is_holiday_season,is_back_to_school,is_summer_season,is_quarter_end,is_year_end,pct_rank_1y,pct_rank_2y,zscore_1y,zscore_2y,trend_3m_vs_12m,momentum_1m,momentum_3m,momentum_6m,acceleration_1m,growth_rate,fetch_timestamp,processing_date
2010-01-01,19277.9702970297,M01,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,,19277.9702970297,19277.9702970297,19277.9702970297,,,,1,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0,0,0,0,0,,,,,0.0,,,,,,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-02-01,17478.693069306933,M02,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,-0.09333333333333305,18378.33168316832,18378.33168316832,18378.33168316832,,,,2,1,32,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0,0,0,0,0,,,,,0.0,-0.09333333333333305,,,,Decline,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-03-01,20049.08910891089,M03,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.1470588235294117,18935.25082508251,18935.25082508251,18935.25082508251,,0.16998292426170705,0.16998292426170705,3,1,60,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,1,0,,,,,0.0,0.1470588235294117,,,0.24039215686274473,Strong Growth,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-04-01,18506.851485148512,M04,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,-0.0769230769230771,18678.211221122114,18828.15099009901,18828.15099009901,,0.13430411840724357,0.13430411840724357,4,2,91,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,0,0,0,0,0,,,,,-0.007963594994311613,-0.0769230769230771,-0.040000000000000036,,-0.22398190045248878,Decline,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-05-01,19277.9702970297,M05,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.04166666666666674,19277.9702970297,18918.114851485145,18918.114851485145,,0.11205573445327048,0.11240611317144632,5,2,121,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0,0,0,0,0,,,,,0.019021739130434843,0.04166666666666674,0.10294117647058787,,0.11858974358974383,Stable,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-06-01,20563.168316831685,M06,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.06666666666666687,19449.330033003298,19192.290429042903,19192.290429042903,,0.0767099969026741,0.10122438557209339,6,2,152,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0,0,1,1,0,1.0,,1.247869230156663,,0.013392857142857076,0.06666666666666687,0.025641025641025772,,0.025000000000000133,Growth,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-07-01,21077.247524752474,M07,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.02499999999999991,20306.128712871287,19492.1699669967,19461.57001414427,,0.020971762320196687,0.09059633203878892,7,3,182,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,0,1,1,0,0,1.0,,1.3133840736729412,,0.043396226415094476,0.02499999999999991,0.13888888888888906,0.09333333333333349,-0.04166666666666696,Stable,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-08-01,21848.366336633666,M08,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.03658536585365879,21162.927392739275,20220.44884488449,19759.919554455446,,0.02150665196195875,0.08298927156363974,8,3,213,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,0,1,1,0,0,1.0,,1.4733640170431612,,0.0710027100271003,0.03658536585365879,0.13333333333333353,0.25,0.01158536585365888,Stable,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-09-01,21334.287128712873,M09,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,-0.02352941176470591,21419.966996699673,20434.648514851484,19934.849284928492,,0.031893340465518664,0.078426691730421,9,3,244,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.8888888888888888,,0.9813748879393136,,0.07449856733524376,-0.02352941176470591,0.03750000000000009,0.0641025641025641,-0.0601147776183647,Stable,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-10-01,22619.48514851485,M10,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.06024096385542155,21934.046204620463,21120.087458745875,20203.31287128713,,0.043187285236250754,0.07486872187518977,10,4,274,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,0,0,0,0,0,1.0,,1.5195588943668727,,0.08566581849024597,0.06024096385542155,0.07317073170731714,0.22222222222222232,0.08377037562012746,Growth,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-11-01,26989.158415841583,M11,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.19318181818181812,23647.643564356433,22405.285478547856,20820.20792079208,,0.1092813675529858,0.08926650980963838,11,4,305,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,1,0,0,0,0,1.0,,2.4268437428370286,,0.1358024691358023,0.19318181818181812,0.23529411764705865,0.40000000000000013,0.13294085432639657,Strong Growth,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2010-12-01,30587.712871287127,M12,2010,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.1333333333333333,26732.118811881188,24076.04290429043,21634.166666666668,,0.06658028532479551,0.08946373381510139,12,4,335,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,1,0,0,1,1,1.0,1.0,2.408075860663871,2.408075860663871,0.23564356435643558,0.1333333333333333,0.433734939759036,0.4874999999999998,-0.05984848484848482,Strong Growth,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2011-01-01,20306.732673267325,M01,2011,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,-0.336114708585179,25961.20132013201,23947.62376237624,21719.896864686467,0.053364662378182715,0.2898614952143498,0.13952293636459345,1,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0,0,0,0,0,0.4166666666666667,0.46153846153846156,-0.38501423633081977,-0.34238120934970045,0.19527277140718455,-0.336114708585179,-0.10224602638223068,-0.03655671123946713,-0.4694480419185123,Strong Decline,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2011-02-01,18411.437623762376,M02,2011,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,-0.09333333333333327,23101.961056105607,23374.80231023102,21797.625577557756,0.05336466237818249,0.23477011380216198,0.13952293636459348,2,1,32,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0,0,0,0,0,0.08333333333333333,0.14285714285714285,-0.9455371467877873,-0.8189965789669555,0.05983842019429675,-0.09333333333333327,-0.3178209805550817,-0.15730827009745396,0.24278137525184573,Decline,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2011-03-01,21119.00198019802,M03,2011,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.1470588235294117,19945.724092409237,23338.921452145212,21886.78498349835,0.053364662378182715,0.24158775058157422,0.13952293636459348,3,1,60,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,1,0,0.5833333333333334,0.6666666666666666,-0.2164661508420041,-0.05204912430913123,-0.08868643304864492,0.1470588235294117,-0.3095592969285861,-0.010091040174719956,0.24039215686274495,Strong Growth,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2011-04-01,19494.463366336633,M04,2011,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,-0.07692307692307698,19674.967656765675,22818.084488448843,21969.08597359736,0.053364662378182715,0.1343041184072436,0.13952293636459348,4,2,91,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.25,0.375,-0.7127354242902428,-0.5081136511345585,-0.10442484132424885,-0.07692307692307698,-0.039999999999999925,-0.1381561853269414,-0.22398190045248867,Decline,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2011-05-01,20306.732673267325,M05,2011,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.04166666666666652,20306.732673267325,21704.346864686468,22054.81617161716,0.053364662378182715,0.11205573445327041,0.13952293636459345,5,2,121,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.2916666666666667,0.5,-0.5123797472702122,-0.2558758427948239,-0.0792608509972295,0.04166666666666652,0.10294117647058809,-0.2475966697298696,0.1185897435897435,Stable,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
2011-06-01,21660.51485148515,M06,2011,4400A,yes,SM,MRTSSM44000USS,Retail: Total Sales,Total Retail,Millions of Dollars,Annual (API Limitation),MRTS,0.06666666666666687,20487.236963696367,20216.480528052805,22146.261716171615,0.053364662378182715,0.07670999690267398,0.13952293636459345,6,2,152,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0,0,1,1,0,0.6666666666666666,0.7777777777777778,-0.143599000906556,0.15927328749587785,-0.07491218038228988,0.06666666666666687,0.025641025641025772,-0.29185568915752413,0.025000000000000355,Growth,2025-12-22 22:25:29.577586,2025-12-22 22:25:29.579068
